中央及国际频道,#genre#
CCTV1HD,http://39.134.136.205:6610/200000001898/460000089800010011/1.m3u8?IAS=
CCTV1HD,http://39.134.136.205:6610/200000001898/460000089800010144/1.m3u8?IAS=
CCTV2HD,http://39.134.136.205:6610/200000001898/460000089800010211/1.m3u8?IAS=
CCTV3HD,http://39.134.136.205:6610/200000001898/460000089800010212/1.m3u8?IAS=
CCTV4HD,http://39.134.136.205:6610/200000001898/460000089800010017/1.m3u8?IAS=
CCTV5HD,http://39.134.136.205:6610/200000001898/460000089800010063/1.m3u8?IAS=
CCTV5HD,http://39.134.136.205:6610/200000001898/460000089800010145/1.m3u8?IAS=
CCTV5HD,http://39.134.136.205:6610/200000001898/460000089800010139/1.m3u8?IAS=
CCTV5+HD,http://39.134.136.205:6610/200000001898/460000089800010202/1.m3u8?IAS=
CCTV6HD,http://39.134.136.205:6610/200000001898/460000089800010214/1.m3u8?IAS=
CCTV7HD,http://39.134.136.205:6610/200000001898/460000089800010215/1.m3u8?IAS=
CCTV8HD,http://39.134.136.205:6610/200000001898/460000089800010216/1.m3u8?IAS=
CCTV9HD,http://39.134.136.205:6610/200000001898/460000089800010217/1.m3u8?IAS=
CCTV9HD,http://39.134.136.205:6610/200000001898/460000089800010052/1.m3u8?IAS=
CCTV10HD,http://39.134.136.205:6610/200000001898/460000089800010203/1.m3u8?IAS=
CCTV11HD,http://39.134.136.205:6610/200000001898/460000089800010092/1.m3u8?IAS=
CCTV12HD,http://39.134.136.205:6610/200000001898/460000089800010205/1.m3u8?IAS=
CCTV13HD,http://39.134.136.205:6610/200000001898/460000089800010093/1.m3u8?IAS=
CCTV14HD,http://39.134.136.205:6610/200000001898/460000089800010207/1.m3u8?IAS=
CCTV15HD,http://39.134.136.205:6610/200000001898/460000089800010094/1.m3u8?IAS=
CCTV16HD,http://39.134.136.205:6610/200000001898/460000089800010142/1.m3u8?IAS=
CCTV17HD,http://39.134.136.205:6610/200000001898/460000089800010210/1.m3u8?IAS=
4K UHD,http://39.134.136.205:6610/200000001898/460000089800010006/1.m3u8?IAS=
CGTN英语SD,http://39.134.136.205:6610/200000001898/460000089800010095/1.m3u8?IAS=
CGTN英语SD,http://39.134.136.205:6610/200000001898/460000089800010137/1.m3u8?IAS=
精选频道,#genre#
NewTV爱情喜剧HD,http://39.134.136.205:6610/200000001898/460000089800010000/1.m3u8?IAS=
NewTV超级电视剧HD,http://39.134.136.205:6610/200000001898/460000089800010065/1.m3u8?IAS=
NewTV超级电影HD,http://39.134.136.205:6610/200000001898/460000089800010064/1.m3u8?IAS=
NewTV超级综艺HD,http://39.134.136.205:6610/200000001898/460000089800010062/1.m3u8?IAS=
